Dimensão;Documento/Sistema;Acronimo;Descrição;Responsável;Esfera;Link do Sistema;Entrada de Dados;Saída de Dados;Relação com Rede Nacional de Dados de Transporte;
5. Frete e Logística;Tabela TACO;Tabela de Valor de Frete;Piso mínimo de frete rodoviário.;ANTT;Federal;https://www.antt.gov.br;ANTT (dados de custos),DNIT (dados de pedágio),dados de combustível,inflação;CT-e,TMS,ERP,RNTRC,ANTT (fiscalização);"Tabela sem indexação dinâmica a combustível, pedágio e inflação; integração com API de dados de pedágio do DNIT reduziria distorções.";
1. Tráfego em Tempo Real;Cortex;;Plataforma de inteligência policial do MJSP que integra dados de diversas fontes (câmeras, banco de dados criminais, RENAVAM, SINESP) para análise preditiva de crimes, incluindo roubo de carga e infrações viárias. Usa IA para cruzamento de dados em tempo real.;MJSP (Ministério da Justiça e Segurança Pública) e  operação técnica: Serpro;Federal;https://www.gov.br/mj/pt-br/assuntos/sua-seguranca/seguranca-publica/cortex;RENAVAM,SINESP,Alerta Brasil,câmeras de monitoramento,BNMP,RENACH,dados de roubo de carga (ANTT);PRF,Polícia Federal,polícias estaduais,SINESP,ANTT (dados de rotas de risco);"Sistema de inteligência com alto potencial de interoperabilidade com a RNDT: recebe dados de placas e veículos em tempo real e poderia cruzar com CT-e/MDF-e para detecção de carga irregular ou roubada; seria beneficiado com acesso unificado a dados de transporte da RNDT.";
2. Transporte Público;GTFS e GTFS-RT;General Transit Feed Specification / General Transit Feed Specification Real-Time;"Padrão aberto internacional (General Transit Feed Specification) para publicação de dados de transporte público. O GTFS estático define rotas, paradas e horários; o GTFS-RT fornece atualizações em tempo real. Adotado por municípios brasileiros como São Paulo, Recife, Porto Alegre e Curitiba para integração com Google Maps, Moovit e outros apps.";Padrão aberto (MobilityData.org) e  adotado por municípios brasileiros;Municipal + Privado;https://gtfs.org;SPTrans,URBS Curitiba,EPTC Porto Alegre,CTTU Recife,outras operadoras municipais;Google Maps,Moovit,CittaMobi,aplicativos MaaS;"Padrão de dados abertos que a RNDT deveria adotar como formato de intercâmbio para dados de transporte público entre municípios e plataformas; permitiria interoperabilidade nacional sem necessidade de APIs proprietárias.";
3. Infraestrutura Viária;PPI;Programa de Parcerias de Investimentos;Plataforma federal que gerencia o pipeline de concessões e privatizações em infraestrutura de transportes (rodovias, ferrovias, portos e aeroportos). Centraliza contratos, metas de desempenho e monitoramento das concessões do Governo Federal.;SPPI (Secretaria Especial do PPI, Casa Civil da Presidência da República);Federal;https://www.gov.br/ppi/pt-br;ANTT,ANTAQ,ANAC,DNIT,concessionárias,dados de investimento e desempenho;ANTT,ANTAQ,ANAC,mercado financeiro,dados de contratos publicados em portal;"Fonte de dados sobre contratos e metas de infraestrutura; a RNDT poderia consumir esses dados para correlacionar condições de infraestrutura com desempenho logístico e de segurança viária.";
4. Mobilidade Urbana;SIMU;Sistema de Informações da Mobilidade Urbana;Base de dados da ANTP (Associação Nacional de Transportes Públicos) que coleta e publica anualmente indicadores de mobilidade urbana dos principais municípios brasileiros: frota, passageiros, custos, gratuidades e emissões.;ANTP (Associação Nacional de Transportes Públicos);Privado + Federal (dados públicos);http://www.sistemadeinformacoes.antp.org.br;Operadoras de transporte público municipais,prefeituras,IBGE;Relatório Anual de Mobilidade Urbana,MT,prefeituras,pesquisadores;"Única base consolidada de indicadores de mobilidade urbana no Brasil; a RNDT deveria integrar esses dados para permitir comparação interurbana e planejamento de políticas públicas de transporte.";
5. Frete e Logística;Manifesto de Carga Ferroviária (gap);;Sistema de manifesto eletrônico ferroviário utilizado pelas concessionárias ferroviárias brasileiras (Rumo, VLI, FCA, MRS) para registro de carga transportada por ferrovia. Ainda sem padronização nacional equivalente ao CT-e rodoviário.;Concessionárias ferroviárias (Rumo, VLI, FCA, MRS) e  regulação: ANTT;Privado + Federal;https://www.antt.gov.br/ferroviario;NF-e,dados de carga das embarcadoras,RNTRC ferroviário,dados de origem/destino;ANTT (fiscalização),TMS,WMS,ERP das concessionárias;"Gap crítico: o modal ferroviário carece de documento fiscal eletrônico padronizado equivalente ao CT-e; a RNDT poderia induzir a criação de um CT-e Ferroviário, integrando dados de 30 mil km de malha concedida ao ecossistema logístico nacional.";
5. Frete e Logística;SARA;Sistema de Armazenagem e Recinto Aduaneiro;Sistema utilizado em recintos alfandegados (portos secos, CLIAs, recintos portuários e aeroportuários) para controle de entrada, armazenagem e saída de mercadorias sob controle aduaneiro.;RFB (regulação aduaneira) e  operadores de recintos alfandegados (execução);Federal + Privado;https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/despacho-de-importacao/topicos-1/recinto-alfandegado;DI,DUE,BL,CE,AWB,NF-e,DTA,dados do importador/exportador;Siscomex,RFB,operadoras de terminais,TMS,WMS,ERP;"Ponto nodal da cadeia logística de comércio exterior; integração com a RNDT permitiria rastreabilidade de ponta a ponta entre origem/destino e o transporte rodoviário/ferroviário/aquaviário.";
1. Tráfego em Tempo Real;CCO e COR;Centro de Controle Operacional / Centro de Operações Rio;Centros de Controle Operacional presentes nos principais estados e municípios (ex: COR-Rio, CCO-SP, COP-DF) que integram câmeras, sensores, dados meteorológicos e sistemas de emergência para gestão do tráfego urbano e resposta a incidentes.;Prefeituras municipais e Governos estaduais (cada um na sua jurisdição);Municipal + Estadual;https://cor.rio (COR-Rio); https://www.cetsp.com.br (CCO-SP);Câmeras de monitoramento,sensores de velocidade,dados meteorológicos,SAMU,Corpo de Bombeiros,dados de GPS de frotas;Google Maps,Waze,apps locais,PRF,Defesa Civil,SAMU,mídia;"Infraestrutura crítica de dados de tráfego urbano em tempo real; a RNDT deveria estabelecer protocolo de compartilhamento com os CCOs para alimentar modelos nacionais de mobilidade e segurança viária."
5. Frete e Logística;TruckPad;;Marketplace digital que conecta embarcadores e motoristas autônomos em tempo real, com geolocalização, negociação de frete e rastreamento integrado.;TruckPad (iniciativa privada);Privado;;GPS dos motoristas,RNTRC,RENAVAM,dados de frete,aplicativo TruckPad;TMS,ERP,dados anonimizados de oferta/demanda,ANTT;Poderia fornecer dados anonimizados de oferta/demanda de fretes por região, auxiliando na previsão de fluxo de cargas e otimização logística nacional.;
5. Frete e Logística;Fretebras;;Plataforma com +4 milhões de downloads que oferece cotação, negociação e gestão de fretes para caminhões de todos os portes, integrando dados de rota, preço e disponibilidade.;Fretebras (iniciativa privada);Privado;;GPS,RNTRC,RENAVAM,dados de rota,preço,CT-e;TMS,ERP,CT-e,ANTT,dados de mercado de frete;Integração permitiria cruzamento de preços de frete com dados fiscais (CT-e) e de infraestrutura (pedágios, postos de pesagem).;
5. Frete e Logística;Frete.com;;Maior plataforma de frete rodoviário da América Latina, processando >US$ 18 bi/ano, com algoritmos de matching entre carga e veículo em tempo real.;Frete.com (iniciativa privada);Privado;;GPS,RNTRC,RENAVAM,dados de carga/veículo,CT-e,MDF-e;TMS,ERP,dados agregados de rotas/tarifas,ANTT,DNIT;Dados agregados de rotas e tarifas poderiam alimentar modelos preditivos da RNDT para planejamento de infraestrutura.;
5. Frete e Logística;CARGOBR;;Primeira plataforma digital de cotação de fretes do país com múltiplas transportadoras, permitindo comparação de preço e prazo em tempo real.;CARGOBR (iniciativa privada);Privado;;RNTRC,RENAVAM,dados de capacidade ociosa,CT-e;TMS,ERP,CT-e,dados de mercado de frete;Poderia integrar dados de capacidade ociosa da frota nacional com demandas de transporte.;
3. Infraestrutura Viária;Sem Parar;;"Maior operadora de TAG do Brasil, com cobertura nacional em pedágios, estacionamentos e postos; gera dados de passagem veicular em tempo real.";Sem Parar (iniciativa privada);Privado;;RENAVAM,RNTRC,RENACH,CT-e,MDF-e,VPO,Free Flow;Free Flow,TMS,ERP,ANTT,DNIT,Alerta Brasil,InfraBR;Dados anonimizados de fluxo por trecho rodoviário poderiam alimentar modelos de tráfego da RNDT e alertas de congestionamento.;
3. Infraestrutura Viária;ConectCar;;"Operadora de TAG com interoperabilidade nacional e integração com apps de mobilidade; oferece API para consulta de passagens.";ConectCar (iniciativa privada);Privado;;RENAVAM,RNTRC,RENACH,CT-e,MDF-e,VPO,Free Flow;Free Flow,TMS,ERP,ANTT,DNIT,Alerta Brasil,InfraBR;Integração via API permitiria validação automática de pagamento de pedágio no CT-e e MDF-e.;
3. Infraestrutura Viária;Veloe;;"TAG com cobertura em 100% das rodovias pedagiadas e +2.350 estacionamentos; possui programa de parcerias com bancos e apps.";Veloe (iniciativa privada);Privado;;RENAVAM,RNTRC,RENACH,CT-e,MDF-e,VPO,Free Flow;Free Flow,TMS,ERP,ANTT,DNIT,Alerta Brasil,InfraBR;Dados de uso em estacionamentos urbanos podem complementar análises de mobilidade urbana da RNDT.;
3. Infraestrutura Viária;Zul+;;Operadora de TAG com modelo de assinatura e integração com app de zona azul digital em São Paulo.;Zul+ (iniciativa privada);Privado;;RENAVAM,RNTRC,RENACH,CT-e,MDF-e,VPO,Free Flow;Free Flow,TMS,ERP,ANTT,DNIT,Alerta Brasil,InfraBR;Integração com sistemas municipais de estacionamento rotativo pode enriquecer dados de demanda urbana.;
5. Frete e Logística;SIGER (exemplo: SIGOR-SP);Sistema Integrado de Gestão de Resíduos;Sistemas estaduais de MTR (ex: SIGOR-SP, MTR-MG) que operam em paralelo ao SINIR nacional, com diferentes níveis de maturidade de API.;Órgãos ambientais estaduais;Estadual;;MTR/SINIR,CTF/IBAMA,CNORP,dados estaduais de resíduos,IBAMA;SINIR,IBAMA,TMS,ERP,órgãos ambientais estaduais;Padronização permitiria rastreabilidade nacional completa da cadeia de resíduos perigosos.;
5. Frete e Logística;PortCommunity (exemplo: PortNet-ES);;Plataformas como PortNet (ES), T-Port (RS) e Sisport (BA) que operam agendamento de caminhões em terminais, mas sem interoperabilidade nacional.;Administrações portuárias;Federal/Estadual;;Portolog,DUE,CT-e,MDF-e,NF-e,dados do terminal portuário;Portolog,SAV,SGAD,TMS,ERP,administrações portuárias;Integração com Portolog e CT-e permitiria visão unificada do fluxo porta-a-porta.;
5. Frete e Logística;APIs de Combustível (ANP);;Dados de preços de combustíveis por posto, atualizados diariamente pela ANP, essenciais para cálculo de custo operacional do frete.;ANP;Federal;;Postos de combustível,ANP,dados de preços,GPS dos postos;Tabela TACO,TMS,ERP,apps de logística,ANTT,DNIT;Poderia alimentar a Tabela TACO com indexação dinâmica e auxiliar motoristas no planejamento de rotas.;
